source_id,scheme_tag,min_sip,min_lumpsum,exit_load,lock_in,expense_ratio,benchmark,riskometer,source_url,last_fetched_date
amc_factsheet,ALL,,,1.00%,,0.62%,NIFTY 500,,https://files.hdfcfund.com/s3fs-public/2025-11/HDFC%20MF%20Factsheet%20-%20October%202025.pdf?_gl=1*1xeg2ht*_gcl_au*ODExODUxNDkwLjE3NjMzNzM1NzM.*_ga*MTg0MzM0MzcyMi4xNzYzMzczNTc0*_ga_9LSHX42J16*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzM2ODAkajUzJGwwJGgw*_ga_B8ZVKN0MJ4*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzM2ODAkajUzJGwwJGgw,11/17/2025
amfi_intro,ALL,,,,,,,,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=IntroductionMutualFunds,11/17/2025
amfi_expense_ratio,ALL,,,,,,,,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=expenseRatio,11/17/2025
amfi_riskometer_1,ALL,,,,,,,,https://www.mutualfundssahihai.com/en/how-riskometer-scheme-derived/,11/17/2025
amfi_riskometer_2,ALL,,,,,,,,https://www.mutualfundssahihai.com/en/what-riskometer-and-what-are-different-levels/,11/17/2025
amfi_riskometer_3,ALL,,,,,2.50%,,,https://www.sebi.gov.in/sebi_data/attachdocs/1457668517623.pdf,11/17/2025
amfi_riskometer_4,ALL,,,,,,,,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=riskInMutualFunds,11/17/2025
sebi_categories,ALL,,,,,,,,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=CategorizationOfMutualFundSchemes,11/17/2025
sebi_elss_lockin,ALL,,,,,,,,https://investor.sebi.gov.in/elss.html,11/17/2025
groww_help_overall,ALL,,,,,,,,https://groww.in/help/mutual-funds,11/17/2025
groww_cas,ALL,,,,,,,,https://groww.in/help/mutual-funds/mf-track-and-switch/how-to-generate-my-consolidated-account-statement--cas--from-the-cams-website--60,11/17/2025
groww_tax_reports,ALL,,,,,,,,https://groww.in/help/my-account/ma-others/where-can-i-get-the-tax-proof-for-section-80c,11/17/2025
groww_transaction_history,ALL,,,,,,,,https://groww.in/help/my-account/ma-others/where-can-i-get-the-transaction-history,11/17/2025
